Tube,Genotype,Name,County
A97,A133,Kiltomulty,Cavan
A57,A54,Laheen,Cavan
A52,A55,Laheen,Cavan
A8,A75,Castlemartyr,Cork
A22,A71,Castlemartyr,Cork
A91,A72,Castlemartyr,Cork
A92,A74,Castlemartyr,Cork
A27,A78,Castlemartyr,Cork
A35,A77,Castlemartyr,Cork
A93,A80,Castlemartyr,Cork
A37,A76,Castlemartyr,Cork
A50,A82,Tooms,Cork
A58,A81,Tooms,Cork
A5,A60,Ballyseedy,Kerry
A1,A69,Ballyseedy,Kerry
A21,A62,Ballyseedy,Kerry
A88,A64,Ballyseedy,Kerry
A89,A68,Ballyseedy,Kerry
A90,A70,Ballyseedy,Kerry
A25,A67,Ballyseedy,Kerry
A74,A63,Ballyseedy,Kerry
A67,A66,Ballyseedy,Kerry
A60,A59,Ballyseedy,Kerry
A76,A65,Ballyseedy,Kerry
A103,A61,Ballyseedy,Kerry
A2,A5,Derryteigeroe,Leitrim
A3,A4,Derryteigeroe,Leitrim
A78,A1,Derryteigeroe,Leitrim
A33,A6,Derryteigeroe,Leitrim
A105,A167,Derryteigeroe,Leitrim
A38,A3,Derryteigeroe,Leitrim
A95,A107,Drumanure,Leitrim
A96,A116,Foxfield,Leitrim
A39,A118,Foxfield,Leitrim
A66,A117,Foxfield,Leitrim
A56,A146,Gubinea,Leitrim
A41,A143,Gubinea,Leitrim
A53,A41,Killaneen,Leitrim
A70,A42,Killaneen,Leitrim
A65,A40,Killaneen,Leitrim
A86,A44,Killegar,Leitrim
A87,A53,Killegar,Leitrim
A30,A47,Killegar,Leitrim
A34,A52,Killegar,Leitrim
A18,A50,Killegar,Leitrim
A85,A43,Killegar,Leitrim
A45,A51,Killegar,Leitrim
A54,A45,Killegar,Leitrim
A44,A49,Killegar,Leitrim
A77,A48,Killegar,Leitrim
A102,A46,Killegar,Leitrim
A104,A163,Laghta,Leitrim
A12,A141,Laghta,Leitrim
A55,A137,Larkfield,Leitrim
A7,A58,Longfield,Leitrim
A24,A57,Longfield,Leitrim
A40,A56,Longfield,Leitrim
A19,A139,Tawnytallan,Leitrim
A98,A134,Tawnyunshinagh,Leitrim
A20,A86,Derryteigeroe,Lietrim
A72,A85,UL,Limerick
A48,A84,UL,Limerick
A100,A177,NA,NA
A51,A113,NA,NA
A17,A31,Ballyfarnan,Roscommon
A29,A30,Ballyfarnan,Roscommon
A32,A34,Ballyfarnan,Roscommon
A84,A33,Ballyfarnan,Roscommon
A62,A37,Ballyfarnan,Roscommon
A71,A36,Ballyfarnan,Roscommon
A64,A29,Ballyfarnan,Roscommon
A49,A27,Ballyfarnan,Roscommon
A43,A35,Ballyfarnan,Roscommon
A69,A32,Ballyfarnan,Roscommon
A101,A28,Ballyfarnan,Roscommon
A63,A87,Knockranny ,Roscommon
A14,A105,Castleconnor,Sligo
A94,A104,Castleconnor,Sligo
A23,A103,Castleconnor,Sligo
A28,A149,Castleconnor,Sligo
A16,A8,Corsallagh ,Sligo
A31,A10,Corsallagh ,Sligo
A26,A7,Corsallagh ,Sligo
A10,A25,Cuilnagleragh,Sligo
A83,A26,Cuilnagleragh,Sligo
A13,A12,Drumbaun,Sligo
A11,A11,Drumbaun,Sligo
A36,A88,Drumsoghla,Sligo
A61,A89,Drumsoghla,Sligo
A15,A15,Kilbrattan,Sligo
A80,A14,Kilbrattan,Sligo
A47,A13,Kilbrattan,Sligo
A99,A160,Markree,Sligo
A68,A158,Markree,Sligo
A6,A24,Riverstown,Sligo
A4,A20,Templehouse,Sligo
A81,A17,Templehouse,Sligo
A9,A16,Templehouse,Sligo
A82,A23,Templehouse,Sligo
A46,A22,Templehouse,Sligo
A42,A21,Templehouse,Sligo
A75,A18,Templehouse,Sligo
A79,A92,Glencree,Wicklow
