Site,Block,Rep,Family,SeedID,Provenance,HT0,HT2,HT7,HT9,HT 12,DBH7,DBH9,DBH12,Quality_12,X2Yrelativeheight,X7Yrelativeheight,X9Yrelativeheight,X12Yrelativeheight,X9Yrelativedbh,X12Yrelativedbh
Corcovety,1,1,1,AF,Derryteigeroe,0.38,1.88,7,8.2,10.2,8.1,9.7,12.2,3,0.75,0.945714286,0.868888889,0.818333333,0.8,0.82
Corcovety,1,1,1,AG,Derryteigeroe,0.38,1.47,7.2,8,9.8,9.1,10.5,13.4,4,0.545,0.974285714,0.846666667,0.785,0.7,0.86
Corcovety,1,1,1,AK,Derryteigeroe,0.45,0.93,3.8,,,2.6,,,,0.24,0.478571429,,,,
Corcovety,1,1,1,AP,Derryteigeroe,0.48,1.3,4.8,,,2.5,,,,0.41,0.617142857,,,,
Corcovety,1,1,1,AS,Derryteigeroe,0.33,1.29,,,,2.6,,,,0.48,,,,,
Corcovety,1,1,1,G,Derryteigeroe,0.3,0.67,,,,2.4,,,,0.185,,,,,
Corcovety,1,1,1,GO,Derryteigeroe,0.48,1.31,6.7,7.8,9.7,5.5,6.7,9,4,0.4175,0.889285714,0.813888889,0.76875,0.6,0.7
Corcovety,1,1,1,GS,Derryteigeroe,0.44,1.9,6.6,7.5,9.3,6.4,7.3,9.5,4,0.73,0.88,0.784444444,0.738333333,0.45,0.62
Corcovety,1,1,1,GV,Derryteigeroe,0.43,2.03,6.9,7.6,10.1,9.5,11,13,3,0.8,0.924285714,0.796666667,0.805833333,0.75,0.7
Corcovety,2,2,1,AB(gn),Derryteigeroe,0.52,,,,,2.7,,,,,,,,,
Corcovety,2,2,1,AH(gk),Derryteigeroe,0.56,,,,,2.9,,,,,,,,,
Corcovety,2,2,1,AJ,Derryteigeroe,0.49,1.53,5.6,6.4,9.2,6.8,7.5,8.2,4,0.52,0.73,0.656666667,0.725833333,0.35,0.28
Corcovety,2,2,1,AN,Derryteigeroe,0.47,1.88,7.2,8.2,11.4,10,11.4,13.7,3,0.705,0.961428571,0.858888889,0.910833333,0.7,0.74
Corcovety,2,2,1,AO,Derryteigeroe,0.54,1.15,4.5,,,2.7,,,,0.305,0.565714286,,,,
Corcovety,2,2,1,FZ,Derryteigeroe,0.52,1.97,6.6,7.8,10.9,8.5,9.4,11.5,3,0.725,0.868571429,0.808888889,0.865,0.45,0.6
Corcovety,2,2,1,GC,Derryteigeroe,0.42,1.41,6.9,7.8,11.3,9.5,10.8,12.1,3,0.495,0.925714286,0.82,0.906666667,0.65,0.52
Corcovety,2,2,1,GJ,Derryteigeroe,0.52,1.94,6.2,7.2,10.4,8.2,9.1,10.8,3,0.71,0.811428571,0.742222222,0.823333333,0.45,0.52
Corcovety,2,2,1,GQ,Derryteigeroe,0.52,2.12,7.4,8.5,11,10.6,11.7,14,3,0.8025,0.983571429,0.887222222,0.87375,0.55,0.68
Corcovety,4,3,1,AZ,Derryteigeroe,0.42,1.89,6.3,7.6,10.5,8.6,10.2,11.7,3,0.735,0.84,0.797777778,0.84,0.8,0.62
Corcovety,4,3,1,B,Derryteigeroe,0.46,1.22,6.1,8.5,9.9,6.8,7.3,7.7,4,0.38,0.805714286,0.893333333,0.786666667,0.25,0.18
Corcovety,4,3,1,CT,Derryteigeroe,0.56,2.33,6.8,8.3,10.8,9.5,11.3,13.3,3,0.885,0.891428571,0.86,0.853333333,0.9,0.76
Corcovety,4,3,1,CX,Derryteigeroe,0.42,1.53,6.1,7.4,9.7,6,7,8.1,4,0.555,0.811428571,0.775555556,0.773333333,0.5,0.42
Corcovety,4,3,1,F,Derryteigeroe,0.47,2.15,6.3,9.3,10.2,7.6,8.9,11.5,3,0.84,0.832857143,0.981111111,0.810833333,0.65,0.78
Corcovety,4,3,1,GZ,Derryteigeroe,0.55,1.72,6.3,8.1,11.2,8.8,10.4,14,4,0.585,0.821428571,0.838888889,0.8875,0.8,1.04
Corcovety,4,3,1,N,Derryteigeroe,0.28,2,6.7,8.2,11.4,9.2,10.7,13.9,4,0.86,0.917142857,0.88,0.926666667,0.75,0.94
Corcovety,4,3,1,Q,Derryteigeroe,0.41,1.58,6.2,7.4,9.4,7.2,8.4,9.6,4,0.585,0.827142857,0.776666667,0.749166667,0.6,0.48
Corcovety,4,3,1,U,Derryteigeroe,0.39,1.1,6.1,8.6,10.2,7.3,8.2,9.7,4,0.355,0.815714286,0.912222222,0.8175,0.45,0.48
Corcovety,1,1,2,DS,Derryteigeroe,0.34,1.55,5.4,6.5,7.2,4.9,5,5.2,4,0.605,0.722857143,0.684444444,0.571666667,0.05,0.06
Corcovety,1,1,2,DT,Derryteigeroe,0.22,1.36,5.8,6.9,9.5,8,9.7,12,3,0.57,0.797142857,0.742222222,0.773333333,0.85,0.8
Corcovety,1,1,2,DX,Derryteigeroe,0.2,1.95,6.4,7.4,8.7,7,8.7,11,4,0.875,0.885714286,0.8,0.708333333,0.85,0.8
Corcovety,1,1,2,DY,Derryteigeroe,0.31,1.66,5.6,7.6,9.3,5.7,6.4,8.5,4,0.675,0.755714286,0.81,0.749166667,0.35,0.56
Corcovety,1,1,2,EB,Derryteigeroe,0.3,,,,,2.9,,,,,,,,,
Corcovety,1,1,2,EC,Derryteigeroe,0.28,0.93,4.3,5.1,,4.1,5.3,,,0.3275,0.575,0.536111111,,0.6,
Corcovety,1,1,2,ED,Derryteigeroe,0.41,1.66,6.5,7.8,9.5,9.8,11.2,13,3,0.625,0.87,0.821111111,0.7575,0.7,0.64
Corcovety,1,1,2,EH,Derryteigeroe,0.42,0.87,5.6,6.9,8,5.6,6,6.7,4,0.225,0.74,0.72,0.631666667,0.2,0.22
Corcovety,1,1,2,FC,Derryteigeroe,0.32,0.96,4.9,6,,5,5.8,,,0.32,0.654285714,0.631111111,,0.4,
Corcovety,2,2,2,CZ(fk),Derryteigeroe,0.38,,,,,2.9,,,,,,,,,
